,Unnamed: 0,Unnamed: 1,CaO,Al2O3,SiO2,Density (g·cm-3),Tg (°C),Thermal expansion (×10-6/°C),Hardness (GPa),Young’s modulus (GPa),fnet1,Fnet_SBS,Fnet_BSdm,Fnet_BSdc,Fnet_EF,Fnet_SBS/Tm,Fnet_BSdm/Tm,Fnet_BSdc/Tm,Fnet_EF/Tm,Fnet_SBS2,Fnet_BSdm2,Fnet_BSdc2,Fnet_EF2,Fnet_SBS/Tm2,Fnet_BSdm/Tm2,Fnet_BSdc/Tm2,Fnet_EF/Tm2
30,,31,32.4,22.6,45.0,2.75,844.0,6.0,,,4376.75761714845,4376.75761714845,7588.1926394779775,3856.703623164763,793.8772561174551,2.0293869450831976,3.532244402936379,1.8104855432300162,0.33880034584013047,5042.267400978793,9139.571941272432,5007.581794453507,998.6846329526918,2.311267536704731,4.168832300163133,2.267723980424144,0.41298401305057103
31,,32,30.6,24.4,45.0,2.74,853.0,5.7,,,4529.0840693556265,4529.0840693556265,7821.312441800643,3933.819616398713,838.2245151125403,2.096629269082958,3.636174698392283,1.846230760128617,0.35817772861736336,5098.230099549839,9168.712668810289,4945.600128617363,1020.9021221864953,2.335565573247589,4.184229646302251,2.2449403215434085,0.42406610932475886
32,,33,30.0,25.0,45.0,2.72,854.0,5.7,,,4575.1462608,4575.1462608,7890.799319999999,3956.2162200000002,850.52436,2.1172412352000007,3.6677844,1.8570839999999997,0.36361920000000003,5114.18688,9171.216,4919.256,1026.768,2.34270528,4.1868,2.2353599999999996,0.4272
33,,34,29.0,26.0,45.0,2.74,860.0,5.6,,,4649.553414349206,4649.553414349206,7999.830873015872,3983.9448793650786,876.5982031746031,2.149135143301587,3.7147116111111114,1.8692715396825397,0.37499298412698406,5153.3172419047605,9206.040317460318,4897.936634920635,1042.6910476190476,2.3593516228571425,4.202472222222222,2.2275425396825392,0.43470031746031745
34,,35,27.5,27.5,45.0,2.73,862.0,5.5,,,4763.705308988236,4763.705308988236,8178.246070588236,4047.6939529411766,909.4113411764706,2.199559712376471,3.794109741176471,1.8984387764705881,0.38924122352941176,5193.23330509804,9223.957647058824,4849.004705882353,1059.0854901960784,2.3766038839215686,4.212178823529412,2.2093301960784313,0.4429050980392157
35,,36,25.0,30.0,45.0,2.73,868.0,5.3,,,4924.054977230769,4924.054977230769,8410.945846153845,4106.338753846154,961.3885846153846,2.2693214603076926,3.896477307692308,1.9257659999999996,0.4121224615384615,5267.5916307692305,9269.723076923077,4777.172307692308,1089.1753846153845,2.4086322461538465,4.234846153846154,2.1828,0.45766153846153845
36,,37,50.0,0.0,50.0,2.9,777.0,10.2,,,1883.435968,1883.435968,3473.732,2128.9279999999994,78.24,0.9315508639999999,1.7208259999999997,1.0473919999999999,0.034108,4415.6262400000005,9001.76,6079.04,595.2,2.07225152,4.1376800000000005,2.71856,0.22144000000000003
37,,38,45.0,5.0,50.0,2.86,776.0,9.0,,,2698.7739208380954,2698.7739208380954,4873.027476190476,2804.7890219047617,262.62617714285716,1.3012755628190475,2.3561537904761907,1.3558912761904762,0.1122904380952381,4635.218499047619,9117.306666666667,5833.260571428571,690.2087619047619,2.1657340342857143,4.194735238095238,2.625447619047619,0.2680380952380953
38,,39,40.0,10.0,50.0,2.81,787.0,7.8,,,3407.2078408727275,3407.2078408727275,6063.505418181819,3345.0389199999995,436.9797309090909,1.619642527418182,2.892404727272728,1.6013690181818183,0.18661570909090913,4836.795287272727,9228.196363636363,5614.886545454546,777.7439999999999,2.2513875781818182,4.248654545454546,2.5425745454545448,0.3108072727272727
39,,40,37.5,12.5,50.0,2.8,798.0,7.4,,,3726.2581269333336,3726.2581269333336,6595.265866666667,3581.1835466666666,516.2385599999999,1.7629256106666666,3.132009066666667,1.7089802666666665,0.2205077333333333,4925.962666666667,9269.506666666666,5506.392888888889,816.4302222222221,2.2894197155555553,4.269793333333333,2.5014711111111105,0.3299288888888889
